약국 이름,주소,경도,위도
산이약국,전라남도 해남군 산이면 비석길 93 93,126.4482879,34.6439121
용한약국,충청남도 서산시 호수공원10로 21 (예천동),126.4485136,36.7729359
맘편한약국,충청남도 서산시 남부순환로 770 (죽성동),126.4488806,36.7455339
드림약국,충청남도 서산시 호수공원6로 53 (예천동),126.4495239,36.7733586
솔내음약국,충청남도 서산시 성연면 성연3로 53 스타빌딩 102호,126.4500365,36.8238373
우리약국,전라남도 영광군 법성면 굴비로 100 1층층,126.4502625,35.3555148
보룡약국,충청남도 서산시 성연면 성연3로 45 103호,126.4505685,36.8232844
서령당약국,충청남도 서산시 번화2로 15-2 (읍내동),126.4506012,36.7806644
정약국,충청남도 서산시 안견로 284 1층층 (읍내동),126.4519958,36.777505
다사랑약국,"충청남도 서산시 남부순환로 1025 (예천동, 대명빌딩)",126.4521947,36.7676829
베스트약국,"인천광역시 중구 공항로 271 지하1층 (운서동, 인천국제공항역)",126.4523468,37.447611
삼화약국,충청남도 서산시 번화2로 32 (동문동),126.4524007,36.780879
하나약국,충청남도 서산시 고운로 157 1층 (동문동),126.4528886,36.7836391
오성약국,충청남도 서산시 대사동1로 16 (동문동),126.4542254,36.7831985
읍내약국,충청남도 서산시 시장1로 9-1 (동문동),126.4547961,36.7824175
영성약국,충청남도 서산시 시장4길 10 (동문동),126.4558569,36.7814411
밝은약국,충청남도 서산시 안견로 242-1 디퍼아울렛타운 119호 (동문동),126.4564432,36.7785766
평화약국,충청남도 서산시 서령로 66 101호 (동문동),126.4567223,36.7878758
부춘약국,충청남도 서산시 대사동4길 7-4 (동문동),126.4568603,36.7839481
제일약국,충청남도 서산시 시장3길 26 (동문동),126.4577085,36.7821671
한마음약국,충청남도 서산시 시장6로 5 (동문동),126.4577106,36.7802142
연수약국,충청남도 서산시 시장6로 31 (동문동),126.45775,36.782358
독일약국,충청남도 서산시 시장6로 37 (동문동),126.4577878,36.7829459
서울약국,충청남도 서산시 시장6로 27 (동문동),126.4578184,36.7820555
수약국,충청남도 서산시 시장6로 30 (동문동),126.4580643,36.7823284
남악다나약국,전라남도 무안군 삼향읍 후광대로 242 전남개발공사 지하1층 102호,126.4581263,34.813971
희망찬약국,충청남도 서산시 시장8로 1 (동문동),126.4581472,36.7803643
참약국,충청남도 서산시 시장6로 30-15 (동문동),126.4587495,36.7823125
박용두약국,충청남도 서산시 안견로 184-6 (동문동),126.4588962,36.7821388
